通番,系列,店舗,住所,LocName,fX,fY,iConf,iLvl
85,S,セブンイレブンＪＲ大津駅前店,滋賀県大津市春日町２－１,滋賀県/大津市/春日町/２番,135.86429,35.00318,5,7
86,S,セブンイレブン瀬田駅前店,滋賀県大津市大萱１－１７－５,滋賀県/大津市/大萱/一丁目/１７番,135.92635,34.98669,5,7
87,S,セブンイレブンハートインＪＲ石山駅南口店,滋賀県大津市粟津町３－１,滋賀県/大津市/粟津町/３番,135.89821,34.98017,5,7
88,S,セブンイレブンハートインＪＲ大津京駅前店,滋賀県大津市皇子が丘２－８－１,滋賀県/大津市/皇子が丘/二丁目/８番,135.85706,35.02423,5,7
89,S,セブンイレブンハートインＪＲおごと温泉駅前店,滋賀県大津市雄琴北１丁目３－１８,滋賀県/大津市/雄琴北/一丁目/３番,135.89481,35.0972,5,7
90,S,セブンイレブンハートインＪＲ堅田駅前店,滋賀県大津市真野１丁目１－７１,滋賀県/大津市/真野/一丁目/１番,135.91541,35.12125,5,7
91,S,セブンイレブンハートインＪＲ膳所駅改札口店,滋賀県大津市馬場２－１１－８,滋賀県/大津市/馬場/二丁目/１１番,135.88196,34.9991,5,7
92,S,セブンイレブンハートインビエラ大津店,滋賀県大津市春日町１－３,滋賀県/大津市/春日町/１番,135.86545,35.00318,5,7
93,S,セブンイレブン琵琶湖大橋西口店,滋賀県大津市真野２－３０－２５,滋賀県/大津市/真野/二丁目/３０番,135.92096,35.12647,5,7
94,S,セブンイレブン名神高速草津ＰＡ上り店,滋賀県大津市月輪５丁目２８－１,滋賀県/大津市/月輪/五丁目/２８番,135.94423,34.97537,5,7
95,NY,ニューヤマザキデイリーストア大津市役所店,滋賀県大津市御陵町３－１大津市役所本庁舎新館,滋賀県/大津市/御陵町/３番,135.85393,35.01836,5,7
96,NY,ヤマザキＹショップ滋賀病院店,滋賀県大津市富士見台１６－１,滋賀県/大津市/富士見台/１６番,135.88455,34.98573,5,7
97,NY,ヤマザキＹショップフタツヤ店,滋賀県大津市木戸１７５－４,滋賀県/大津市/木戸,135.90932,35.20256,5,5
