都道府県名,二次医療圏番号,二次医療圏名,"合計(40～44歳, 18.5以上20.0未満)","合計(40～44歳, 18.5未満)","合計(40～44歳, 20.0以上25.0未満)","合計(40～44歳, 25.0以上30.0未満)","合計(40～44歳, 30.0以上35.0未満)","合計(40～44歳, 35.0以上40.0未満)","合計(40～44歳, 40.0以上)","合計(45～49歳, 18.5以上20.0未満)","合計(45～49歳, 18.5未満)","合計(45～49歳, 20.0以上25.0未満)","合計(45～49歳, 25.0以上30.0未満)","合計(45～49歳, 30.0以上35.0未満)","合計(45～49歳, 35.0以上40.0未満)","合計(45～49歳, 40.0以上)","合計(50～54歳, 18.5以上20.0未満)","合計(50～54歳, 18.5未満)","合計(50～54歳, 20.0以上25.0未満)","合計(50～54歳, 25.0以上30.0未満)","合計(50～54歳, 30.0以上35.0未満)","合計(50～54歳, 35.0以上40.0未満)","合計(50～54歳, 40.0以上)","合計(55～59歳, 18.5以上20.0未満)","合計(55～59歳, 18.5未満)","合計(55～59歳, 20.0以上25.0未満)","合計(55～59歳, 25.0以上30.0未満)","合計(55～59歳, 30.0以上35.0未満)","合計(55～59歳, 35.0以上40.0未満)","合計(55～59歳, 40.0以上)","合計(60～64歳, 18.5以上20.0未満)","合計(60～64歳, 18.5未満)","合計(60～64歳, 20.0以上25.0未満)","合計(60～64歳, 25.0以上30.0未満)","合計(60～64歳, 30.0以上35.0未満)","合計(60～64歳, 35.0以上40.0未満)","合計(60～64歳, 40.0以上)","合計(65～69歳, 18.5以上20.0未満)","合計(65～69歳, 18.5未満)","合計(65～69歳, 20.0以上25.0未満)","合計(65～69歳, 25.0以上30.0未満)","合計(65～69歳, 30.0以上35.0未満)","合計(65～69歳, 35.0以上40.0未満)","合計(65～69歳, 40.0以上)","合計(70～74歳, 18.5以上20.0未満)","合計(70～74歳, 18.5未満)","合計(70～74歳, 20.0以上25.0未満)","合計(70～74歳, 25.0以上30.0未満)","合計(70～74歳, 30.0以上35.0未満)","合計(70～74歳, 35.0以上40.0未満)","合計(70～74歳, 40.0以上)"
埼玉県,1103,東部,1433,656,11762,6553,1631,370,123,1572,631,14325,9240,2190,476,138,1363,556,13507,9166,2175,421,118,1062,482,10373,6849,1351,224,49,867,409,7910,4773,778,99,11,806,374,6971,4014,501,44,,1064,533,9540,4818,510,44,
埼玉県,1104,さいたま,2113,813,16374,7784,1631,355,87,1945,778,18323,10272,2250,489,118,1898,703,17511,10591,2334,379,96,1579,617,14385,8315,1523,251,58,1150,512,11142,6197,896,97,31,804,366,8108,4112,520,51,,930,514,9203,4151,438,22,
埼玉県,1105,県央,741,321,5615,2913,679,151,51,807,330,6748,4125,989,202,64,734,333,6743,4111,979,180,37,569,276,5517,3321,603,74,24,481,233,4523,2608,385,47,14,450,206,4210,2147,248,,,607,328,5495,2403,227,,
埼玉県,1106,川越比企,1088,507,8313,4400,1044,250,65,1179,520,10021,5981,1334,287,86,1066,431,9520,5766,1347,242,67,828,403,7735,4502,883,126,30,739,342,6574,3697,589,77,,650,346,6214,3012,381,32,,887,476,8014,3509,310,20,
埼玉県,1107,西部,992,442,7524,3909,950,197,58,1083,510,9459,5548,1326,251,75,1038,442,9193,5826,1307,207,57,847,376,7895,4564,938,149,30,685,313,6617,3720,626,81,,654,297,6080,3066,342,32,,972,459,7856,3401,302,17,
埼玉県,1108,利根,795,344,5936,3269,856,217,61,866,390,7353,4611,1139,224,73,795,349,6895,4413,1020,204,54,677,333,5731,3528,722,102,26,593,308,5480,3114,506,65,11,571,272,5375,2945,331,28,,728,360,6602,3149,293,24,
埼玉県,1109,北部,681,322,5027,2637,689,139,,686,302,5807,3427,842,169,,612,305,5494,3518,766,143,41,562,244,4827,2842,493,80,,468,228,4435,2375,328,,,442,239,4157,2125,226,,,547,277,4445,2017,187,,
埼玉県,1110,秩父,103,51,744,397,116,25,,97,46,905,534,132,24,,121,41,960,575,127,34,10,115,62,897,519,101,15,,101,46,958,504,68,,,117,48,958,450,51,,,117,55,1049,444,28,,
千葉県,1201,千葉,1302,570,10254,5351,1268,292,89,1370,524,12823,7557,1877,392,119,1328,539,13205,8069,1866,324,107,1026,466,10456,6130,1258,209,39,763,352,7692,4477,767,90,23,527,242,5439,3033,394,55,,719,357,6817,3091,321,27,
千葉県,1202,東葛南部,2662,1155,20626,10494,2538,526,141,2578,1087,24529,14069,3241,601,202,2553,1017,24046,14464,3315,600,179,1914,770,18706,11339,2224,313,81,1317,618,13208,7496,1278,164,39,948,500,9828,5366,681,78,,1434,765,12483,6016,632,44,
千葉県,1203,東葛北部,1980,896,15784,8119,1944,439,119,1984,820,18282,10600,2555,524,139,1798,693,17103,10723,2466,464,105,1415,577,13620,8158,1650,263,54,1083,526,10448,6166,974,115,32,915,433,8923,4808,584,61,,1284,637,11811,5377,522,40,
千葉県,1204,印旛,867,335,6671,3769,955,188,58,847,337,7771,4820,1242,262,77,684,295,7245,5007,1120,212,64,594,253,6079,3786,752,124,31,511,228,5556,3375,564,74,11,556,232,5483,2910,382,37,,665,334,6345,2962,278,20,
千葉県,1205,香取海匝,213,111,2043,1182,343,68,23,234,97,2347,1645,415,97,37,249,95,2254,1713,423,77,,235,116,2182,1459,289,41,20,210,120,2231,1486,254,27,,228,113,2325,1392,200,12,,278,132,2829,1496,172,13,
千葉県,1206,山武長生夷隅,412,172,3031,1876,517,125,48,381,166,3766,2596,698,159,51,383,133,3761,2584,658,132,38,349,168,3497,2323,497,86,17,341,179,3542,2200,390,43,,341,179,3615,2204,243,22,,460,237,4274,2245,249,16,
千葉県,1207,安房,78,33,717,475,139,30,10,82,26,924,612,187,44,13,80,41,928,700,185,31,,92,25,787,570,128,17,,71,37,861,535,97,12,,76,48,803,489,51,,,108,48,887,481,51,,
