番号,避難場所名,有効面積 (㎡),収容人数 (人),住所1,住所２,LocName
202,平野幼稚園,152,89,馬場一丁目5-28,滋賀県大津市馬場一丁目5-28,滋賀県/大津市/馬場/一丁目/５番
203,平野幼稚園グラウンド,"1,092","1,092",馬場一丁目5-28,滋賀県大津市馬場一丁目5-28,滋賀県/大津市/馬場/一丁目/５番
204,滋賀県立大津高校体育館,"2,124","1,249",馬場一丁目1-1,滋賀県大津市馬場一丁目1-1,滋賀県/大津市/馬場/一丁目/１番
205,滋賀県立大津高校グラウンド,"13,065","13,065",馬場一丁目1-1,滋賀県大津市馬場一丁目1-1,滋賀県/大津市/馬場/一丁目/１番
206,滋賀短期大学,"1,368",804,竜が丘24-4,滋賀県大津市竜が丘24-4,滋賀県/大津市/竜が丘/２４番
207,滋賀短期大学グラウンド,"1,600","1,600",竜が丘24-4,滋賀県大津市竜が丘24-4,滋賀県/大津市/竜が丘/２４番
208,旧市立大津市民病院 付属看護専門学校,299,174,石場10-53,滋賀県大津市石場10-53,滋賀県/大津市/石場/１０番
209,勤労福祉センター,"1,594",937,打出浜1-6,滋賀県大津市打出浜1-6,滋賀県/大津市/打出浜/１番
210,大津湖岸なぎさ公園打出の森,"10,129","10,129",打出浜15,滋賀県大津市打出浜15,滋賀県/大津市/打出浜
211,滋賀県立芸術劇場びわ湖ホール,"1,881","1,106",打出浜15-1,滋賀県大津市打出浜15-1,滋賀県/大津市/打出浜
212,"滋賀県立県民交流センター
（ピアザ淡海）","7,763","4,566",におの浜一丁目1-20,滋賀県大津市におの浜一丁目1-20,
213,県立武道館,951,559,におの浜四丁目2-15,滋賀県大津市におの浜四丁目2-15,滋賀県/大津市/におの浜/四丁目/２番
214,県立体育館,"4,504","2,649",におの浜四丁目2-12,滋賀県大津市におの浜四丁目2-12,滋賀県/大津市/におの浜/四丁目/２番
215,膳所市民センター,588,346,本丸町6-40,滋賀県大津市本丸町6-40,滋賀県/大津市/本丸町/６番
216,膳所小学校体育館,572,336,中庄二丁目8-37,滋賀県大津市中庄二丁目8-37,滋賀県/大津市/中庄/二丁目/８番
217,膳所小学校グラウンド,"10,000","10,000",中庄二丁目8-37,滋賀県大津市中庄二丁目8-37,滋賀県/大津市/中庄/二丁目/８番
218,膳所幼稚園,273,160,中庄二丁目6-5,滋賀県大津市中庄二丁目6-5,滋賀県/大津市/中庄/二丁目/６番
219,膳所幼稚園グラウンド,"2,107","2,107",中庄二丁目6-5,滋賀県大津市中庄二丁目6-5,滋賀県/大津市/中庄/二丁目/６番
220,滋賀県立膳所高校体育館,751,441,膳所二丁目11-1,滋賀県大津市膳所二丁目11-1,滋賀県/大津市/膳所/二丁目/１１番
221,滋賀県立膳所高校グラウンド,"16,357","16,357",膳所二丁目11-1,滋賀県大津市膳所二丁目11-1,滋賀県/大津市/膳所/二丁目/１１番
222,滋賀県立膳所高校第２グラウンド,"25,000","25,000",相模町4,滋賀県大津市相模町4,滋賀県/大津市/相模町/４番
223,膳所城跡公園,"31,124","31,124",本丸町7,滋賀県大津市本丸町7,滋賀県/大津市/本丸町/７番
224,生涯学習センター,512,301,本丸町6-50,滋賀県大津市本丸町6-50,滋賀県/大津市/本丸町/６番
225,膳所児童館,134,78,昭和町15-15,滋賀県大津市昭和町15-15,滋賀県/大津市/昭和町/１５番
226,膳所ふれあいセンター,149,87,昭和町15-25,滋賀県大津市昭和町15-25,滋賀県/大津市/昭和町/１５番
